command	coefficients	time frames
len	39	10
xuong	39	16
phai	39	17
phai	39	17
len	39	20
len	39	19
len	39	18
B	39	16
xuong	39	18
A	39	14
xuong	39	23
trai	39	17
trai	39	17
A	39	17
A	39	16
nhay	39	13
phai	39	16
A	39	22
A	39	16
phai	39	15
ban	39	18
trai	39	16
xuong	39	16
nhay	39	16
phai	39	16
A	39	19
trai	39	15
nhay	39	14
ban	39	16
ban	39	16
xuong	39	20
A	39	19
len	39	17
A	39	15
B	39	20
len	39	18
ban	39	17
trai	39	21
phai	39	23
nhay	39	22
A	39	21
nhay	39	20
ban	39	17
len	39	20
phai	39	20
ban	39	16
B	39	20
xuong	39	19
xuong	39	17
trai	39	15
len	39	24
B	39	20
xuong	39	16
trai	39	18
trai	39	16
nhay	39	19
A	39	19
trai	39	16
nhay	39	19
B	39	23
trai	39	25
trai	39	22
nhay	39	16
xuong	39	23
ban	39	19
len	39	18
len	39	23
trai	39	21
phai	39	17
len	39	19
len	39	25
ban	39	21
len	39	24
B	39	24
phai	39	15
nhay	39	15
trai	39	22
trai	39	22
A	39	21
xuong	39	25
trai	39	21
trai	39	22
phai	39	18
phai	39	16
len	39	17
len	39	17
nhay	39	20
trai	39	23
B	39	19
ban	39	22
len	39	20
B	39	18
A	39	18
ban	39	24
trai	39	22
ban	39	22
len	39	16
phai	39	16
phai	39	16
xuong	39	15
nhay	39	23
xuong	39	26
nhay	39	21
nhay	39	18
B	39	16
nhay	39	20
A	39	18
xuong	39	21
xuong	39	17
trai	39	18
ban	39	17
A	39	17
B	39	16
ban	39	17
nhay	39	16
nhay	39	15
xuong	39	17
B	39	15
B	39	15
len	39	19
trai	39	19
xuong	39	20
len	39	19
trai	39	19
B	39	19
ban	39	16
B	39	19
ban	39	21
phai	39	18
trai	39	20
trai	39	22
xuong	39	20
nhay	39	19
B	39	21
ban	39	22
B	39	22
xuong	39	23
nhay	39	18
xuong	39	16
len	39	22
trai	39	23
A	39	24
nhay	39	22
xuong	39	23
phai	39	21
ban	39	21
A	39	18
ban	39	17
phai	39	19
xuong	39	26
nhay	39	21
xuong	39	20
len	39	19
nhay	39	17
xuong	39	18
ban	39	22
A	39	21
len	39	22
phai	39	16
B	39	15
trai	39	29
trai	39	18
len	39	14
trai	39	22
xuong	39	21
xuong	39	19
B	39	16
A	39	22
nhay	39	16
phai	39	20
nhay	39	22
B	39	22
nhay	39	17
A	39	17
B	39	22
A	39	16
A	39	22
ban	39	15
B	39	21
len	39	18
nhay	39	21
len	39	21
B	39	17
nhay	39	22
ban	39	15
B	39	26
len	39	20
ban	39	17
phai	39	19
